,description,review.point,sentiment
2146,The onionskin hue gives the initial indication that this was finished in a port pipe. The nose is light and fruity: raspberry and cranberry juice; even a sprig of mint. Fresh; but with a background funkiness. In time; there’s ripe melon; then lightly musty wood comes through. The palate is light; giving the effect of diluted fruit juice. It’s all just a bit lacking in weight. £25,80,1
2128,There’s a Roman dish involving lamb cooked in milk; and this is it in alcohol form. A slightly peculiar lactic note rises and falls above the rich meatiness of the spirit. There’s a hit of pencil shavings; but with water it becomes cheesy. So much more straightforward on the tongue with good vinous weight; like an old Vin Jaune. It finishes with earthy tones. It’s just…odd. £125,80,1
2129,"Very pale in color. A creamy; mouthcoating whisky; with thick vanilla as the main thread. Quite dry; given its creaminess. I’m also picking up a lot of gin botanicals (especially juniper and orange peel). An interesting enough of a dram; but not something I would drink on a regular basis. 
",80,1
2130,"A very traditional Rosebank-aged in a refill hogshead and bottled fairly young (12 years old). Rosebank is one of the better; yet lesser known Lowland single malts. Since the distillery was closed down in 1993; it will continue being unfamiliar to most; and finding young Rosebanks like this one will become increasingly more difficult. Here’s one at cask strength. The whisky turns very cloudy with the addition of water due to lack of chill filtering; but the additional water brings out the whisky’s subtle aromas and flavors-fresh cut grass; hay; delicate fruit; and a gentle malty sweetness. Ironically; I actually enjoyed some of the recent young G&M Rosebanks bottled at 40% ABV better than this one-their flavors were cleaner; brighter; and more refined. Still; this is a fair representation of the Lowland style. 
",80,1
2132,"Aged in a re-charred sherry butt. Sweet; but not cloying; with plenty of fruit throughout. Toffee; vanilla fudge; roasted chestnuts; and nougat; enhanced by glazed peaches; burnt pineapple; dark cherry pits; and subtle anise. Gripping charred oak tannins emerge mid-palate and continue on the finish detracting from an otherwise very pleasant experience. (Bottled exclusively for Binny’s Beverage Depot)
",80,1
2133,Douglas Laing has added a no age statement bottling of Talisker to its Provenance range; tagging it as “Young and Feisty.” It comprises whisky from casks #10227 and 10229. Lively and up front; with bubblegum; wood smoke; and black pepper on the nose. Developing ozone. Zesty soft fruits; emerging dark peat notes; and more pepper on the palate. The finish is quite short; nutty; and slightly metallic. Young and feisty indeed! £65,80,1
2134,A single cask (#10699) bottling of Talisker; distilled in the winter of 2008 and matured in a refill hogshead before bottling in May 2015. Initially; a slight hint of new make; soon displaced by digestive biscuits; brine; and black pepper. Sweet oak; earthy peat; and orchard fruits on the palate. The finish is medium in length; with black coffee; licorice; and long-lasting spices.,80,1
2135,"Pleasantly sweet. Good malt foundation with an abundance of bright summer fruit. Clean; straight-forward and uncomplicated.
",80,1
2136,Light amber. The nose offers up walnut bread; spelt flour; and a green; malty note. Overall; it’s slightly unyielding; with toasted oak; hazelnut; and barley. Water opens up a sweeter core: Lucozade; apricot kernel; and barley. The palate is where the apricot flesh turns up; but then it firms up quickly; snuffing that moment of levity out. Water introduces lemon before it becomes very gingery on the finish. It’s the thing about Tormore; it just can’t let itself go. (France only) €42,80,1
2131,A new NAS expression from Scapa on Orkney; matured entirely in first-fill American oak casks. An initial hint of lime cordial; then musty peaches; almonds; cinnamon; and table salt. More peaches on the palate; with tinned pear and a little honey. Tingling spices in the drying finish; which soon becomes quite bitter – detracting from the overall balance.,80,1
2138,"Remarkably light and drinkable for an all-malt product. Malty foundation with citrus (lemon zest; tangerine sherbet) shining through; along with vanilla wafer; white chocolate; coconut; ginger; and cut grass. A worthy “bridge whisky” for blended whisky drinkers curious about malt whisky; but single malt whisky drinkers might want more individuality. A whisky for a warm; lazy afternoon.
",80,1
2139,A slightly perfumed nose offers up the slightly unusual pairing of dried lavender; sweet-cured herring; and then potpourri air freshener. This flies off to show wet dulse on warm sand. It starts sweetly with some nutmeg; then hot peppers. The smoke is very light; allowing a tantalizing glimpse of soft guava before the salinity returns. Water brings out the peat kiln but also that initial perfume. Muddled. £700,80,1
2140,Quite a solid start for a Caol Ila which; like the 30 year old (see above); pitches you into the farmyard; though this time it’s a sheep-shearing shed. There’s also some bacon and spent barbecue. The initial impression is of a pretty dry example; but some oil begins to seep through. The palate is explosive with some engine oil; becoming pretty flinty with violet notes; and the distillery sweetness is hidden. A little disjointed. £135,80,1
2141,The least assertive of the Wemyss 12 year old range; and the most flighty. There's nothing wrong here; and the whisky's well-made and won't disappoint; but when you compare the spice hit here with what's on offer with other malts; this isn't shouting loudly enough. £35,80,1
2142,The oldest of the new trio; here you can see how the smoke has become fully absorbed; accenting the peapod and spearmint; giving depth to the still-fresh ozonic elements. There are light levels of complexity; even a little chocolate. The tongue; when neat; goes deep into pear and apple; but it’s edgy. Adding water; however; shows the lack of oak integration. I’d want more from a whisky of this age (and price). £199,80,1
2143,As with the 30 year old; here you get the sense of smoke being absorbed rather than being expressive. There’s not a lot of cask at work here—this has real minerality; and an oily brininess bringing to mind a hot outboard motor on a fishing trip. Halfway in a fire ignites; sending clouds of smoke forward; but then it dries too quickly. Good; but just not enough oak to give it depth and length. £80,80,1
2144,One of the newest of the Distillers Edition family. Here; Royal Lochnagar has been given its secondary resting period in Muscat casks. That nodule of sweetness in the 12 year old has been picked up and extended into a more perfumed world; think blueberry muffin and boysenberry jam. The slight sour/bitter note is a positive; but I think in this case that the finish dominates proceedings and needs to be scaled down a little. £48,80,1
2137,This venerable blend has a nose of mandarin syrup cake; vanilla cream; and cut hay; with chopped cilantro and other herbal top notes. Sweet and fruity; though verging on tasting of artificial sweeteners at times; there are malt notes and a developing butteriness; with sweet mandarin notes and sponge cake. It all hangs on a light structure but it’s less smooth on the finish; with a scratch of wood smoke.,80,1
2167,MacQueen’s has an impressive range of age statement blends; but this is the youngest one. Faint caramel and toast; a mild rub of whole spice; and snuff tobacco. The mouthfeel is meager and lacks any real punch; there is spice and fudge; but little sweetness. More caramel flavors develop alongside chocolate notes before a dry; quick finish. There are better options around; even at this price.,80,1
2037,"Light (for a Speysider); floral; fresh; and elegant; showing honeyed vanilla and lively fruit; along with a hint of marshmallow and hay. Soft; dry finish. Pleasant; straightforward; and uncomplicated. A good clean introductory malt that’s easy to embrace. 
",81,1
2038,"The first official distillery release to the U.S. since the distillery was purchased by Angus Dundee. This is a thick; mouth-coating whisky. Notes of ripe malt; toffee; sweet berries; and caramel apples. It dries out quite nicely towards the finish; with spicy oak notes to keep it from becoming too cloying. 
",81,1
2039,More of a reddish hue; but as equally robust as the 1961 (see below). Some baked characters alongside dried cherry and barberry; which shift toward balsamic-like concentration. Hint of black pudding (blood sausage) and bitter chocolate. The palate is tight and tannic; with a hint of smoke and cooked dried fruits. Water loosens the tannic grip; allowing licorice to show. (A U.S. exclusive.),81,1
2040,Bottled for this auspicious occasion; this is a Glenfiddich that confounds people’s expectations by being smoky; not from casks (à la Caoran) but the distillate. Fresh; with a nose that brings to mind eating apples and hazelnuts around a late summer bonfire; the smoke seems in charge. On the palate; the reverse happens; with the fruits being thrust forward and the smoke only emerging on the finish. It’s vibrant and needs water; and is a lot of fun. Happy Birthday! (Travel Retail and distillery shop exclusive)£70  ,81,1
2041,Like Dalwhinnie; Glenkinchie starts life as a (deliberately) sulfury new make; but this character falls away in time to reveal delicacy. As a 10 year old; that sulfur could still be hanging around — one reason for the switch to a 12 year age statement. The improvement is noticeable. Here are gently lifted floral notes; hints of dry grass; and crisp pear. The feel is gentle and slow in the center; while vanilla creeps into the finish. Not complex; but very pleasant.,81,1
2042,A limited edition—there are only 630 bottles of this—for those who are “Glenlivet Guardians.” A sherry refill; it’s a gentle expression that has typical Glenlivet floral elements that are more lifted than usual: elderflower cordial; jasmine; and night-scented stocks. A subtle spiciness emerges with a drop of water. This general smoothness continues on the palate with ginger in syrup and an enlivening citric note on the finish. ,81,1
2045,Generally sweet notes of honeyed fruit; orange marmalade; dark chocolate; and salt water taffy. Soft; gently briny finish. Pleasing enough of a whisky -- with no miscues -- but missing the depth found in some of the older bottlings. (Bottled for Texas),81,1
2044,"Gently sweet; with toffee; nougat; and honey-glazed nuts; balanced by bright citrus and sultana. A soothing; unpretentious; malt I would save for after dinner. 
",81,1
2046,Medium-bodied but viscous in texture. Clearly aged in a bourbon cask-there's plenty of honeyed malt and vanilla throughout. Hints of bourbon even peek through occasionally; along with some subtle peat. Soft melon mid-palate yields to dried spice; sea salt; bitter chocolate and herbal notes on the finish. Fairly dry for a 12 year old-particularly on the finish. Best served as an aperitif.,81,1
2047,"This is the oldest expression of Inchmurrin to be released by Loch Lomond; who make it in their highly versatile distillery at
Alexandria. Brittle toffee and cod liver oil on the nose; with vanilla and a whiff of Jaffa oranges. Smooth and full on the palate; more substantial and sophisticated than the younger Inchmurrin variants. The fruits are now more citric. Lengthy and unctuous in the finish; with more citrus fruit; gentle spice; and a touch of oak. £90",81,1
2036,"From a sherry hogshead; which is confirmed by its deep amber/crimson color. A very clean whisky for 31 years in oak; and its complexity is subtle. It’s sort of the antithesis of the Blackadder Longmorn also reviewed here. Both are heavily sherried. The Longmorn shows its age proudly; and is bold; complex; and a bit rustic. This one is clean; more conservative; and nicely balanced. You’ll find notes of honey-laced fruit; caramel; and toffee; with an infusion of nutty; ginger-spiced notes; leading to a polished oak finish. A straight-forward and uncomplicated Speysider. 
",81,1
2049,Soft and warm on the nose; with peaches in syrup; heather; hazelnut; and mild ginger. Quite full and richly fruity on the palate: apricots and more peaches; plus stronger ginger and a hint of spicy oak. Lingering in the sweet finish; with gentle spices.,81,1
2043,"Very fragrant and floral; with bright notes of citrus (lemons; orange) and fresh grass. Similar on the palate; with additional notes of soft honeyed malt and vanilla. Clean; fresh; appetizing finish. A nice aperitif or; better yet; a liquid sorbet between courses. 
",81,1
2035,Deanston distillery has released its first organic single malt; aged for 15 years in new oak barrels. It is non-chill filtered.  Stem ginger; white pepper; cloves; and vanilla on the nose. The palate is rich with intensely sweet early fruit notes; honey; more ginger; and now black pepper. Becoming nuttier and slightly metallic in the finish with spicy oak and a hint of aniseed. (Germany and Travel Retail) £80,81,1
2025,"Full gold color. Layers of citrus fruit on the nose (especially Seville orange; lemon; grapefruit); with just a faint hint of peat smoke and floral; herbal notes. Light to medium in body. It tastes similar in many ways to its aroma-there’s plenty of citrus fruit. The fruit comes first; followed by the classic ""older Bowmore"" oaky dryness. An echo of flavors repeats this sequence-first the citrus fruit; then the dry oak flavors. Some peat smoke teases in the background; but is mostly restrained. Fry; oaky; faintly peaty finish.
   Style: Islay single malt Scotch whisky. Price: approx. $160. Available at select retailers. 
   This whisky is classic older Bowmore (30+ years); with its exotic citrus fruit; distinctive oaky dryness; and faintest hint of peat smoke. ",81,1
2033,"Thick in texture and palate-coating. Ripe peaches and bananas; orange chocolate; English toffee; and a hint of damp oak on the nose. I can also detect brine; seaweed; peat smoke; and spice; but it’s a little clumsy. Same story on the palate. Not a bad whisky; but I expect more from Clynelish. 
",81,1
2050,Jura Elixir is exclusive to the Sainsbury’s supermarket chain; and takes its name from the legend that the water of Jura possesses life-prolonging qualities. Elixir was finished in a mix of American white oak and ex-sherry casks.  The nose is mildly fungal; with caramel and sea salt. Treacle toffee; ginger; and citrus fruits on the palate; which is ultimately slightly acrid. The finish is medium in length and spicy; with licorice. £16 (350 ml),81,1
2019,"Some of these older Duncan Taylor grain whiskies are very individualistic and exciting. With others; the wood has gotten the best of them (Grain whiskies are light in body and thus vulnerable to excessive oak aging). This one; fortunately; gravitates more towards the former; with a rather reserved oak influence; given its age. A bit tight on the nose. Rather sweet too; and somewhat viscous. Notes of vanilla; crème brulee; marzipan; caramel-coated popcorn; brown sugar; toasted coconut; and subtle pineapple and papaya. A gentle dried spice finish rescues the whisky from all the sweetness.
",81,1
2020,"A fruity-sweet whisky (but still quite light and lively); with notes of orange marmalade; lemon meringue pie; and apricot. There’s also an underlying vanilla maltiness that is balanced nicely by oak spice on the finish. A respectable effort for a 10 year old and versatile enough to drink any time of the day (but I would prefer it before dinner). 
",81,1
2021,"Light; clean; and delicate on the palate; with creamy vanilla; marshmallow; soft fruit (lemon; lime); and a touch of honey throughout. Nicely balanced and uncomplicated. A whisky to appeal to both the malt and blend drinker. 
",81,1
2022,"Surprisingly thick and oily in texture for a Lowlander. There’s plenty of marshmallow; vanilla cream; and ripe barley; with interspersed cut grass; lemon; and mustard seed. Drying oak spice notes on the finish. Not as polished or refined as the distillery bottling of the same age; but it still has many redeeming qualities. 
",81,1
2023,"Gordon & MacPhail purchased the Benromach distillery from United Distillers and reopened the distillery in 1998. They installed new stills and are using malt with a recognizable level of peating. This is first official bottling from the whisky that they themselves have made. The whisky is still youthful; but for a whisky of such youth it shows great balance; individuality; and promise. Notes of vanilla cream; honey; and fruit (pineapple; pear) are peppered with nuances of smoke; herbs; and pine. Youthful; vibrant finish. I eagerly look forward to tasting this whisky with a half dozen more years of aging. 
",81,1
2034,Light straw. Initially this is quite hot and a little dumb; with whiffs of Indian spice — think turmeric and curry leaf — along with mint sauce (but no lamb) and a tickle of peat. The palate is quite intense and hot; with powdered almond; a grassy edge; and concentrated sweetness that starts in the center and builds toward the back palate. Subtle; but can’t help wishing there was just a little more say from the cask. £59,81,1
2024,"Nicely balanced; and easy to drink. Pit fruits (peaches; apricots) and lemon are the dominant notes; with underlying vanilla cream; butterscotch; and a hint of honey. Gently dry; delicately spicy finish. The most rounded of the four. 
",81,1
2027,"Its color suggests sherry cask influence; and its aroma confirms. The initial impact on the palate is lush fruit; followed by a clean honeyed malt foundation. Toffee and nuts emerge; with that satisfying Bruichladdich freshness and brine kicking in on the finish; providing some balance for the somewhat waxy; sherried sweetness. (A Park Avenue Liquors exclusive.) 
",81,1
2028,Another Travel Retail exclusive; and while you might expect something delicate given the age statement; what is delivered is a thick; buttery/creamy opening that; for a second; teeters on the brink of sourness then pulls back to be more like ricotta cheese. It then settles into vanilla; floral notes; white chocolate; and sweet barley. The palate is thick once again; with lemon cheesecake giving a needed clean acidity. Quite a bulky youngster that’s best with water. (Travel Retail exclusive) £45,81,1
2029,This Caol Ila was released the same time as the 12 year old; reviewed above. Older isn't always better; especially with Islay whiskies. I felt that way when comparing Ardbeg 17 to Ardbeg 10 year old; and I feel the same with these two Caol Ila whiskies. This 18 year old has the same flavor profile as the 12 year old. It's a well-rounded dram too; but it has lost the vibrancy and dynamic intensity of the 12 year old. If you want to experience Caol Ila in its entire youthful splendor-and save a few bucks while you're at it-then buy the 12 year old.,81,1
2030,"Mature and gentle; when compared to the 1990 expression above. If the flavors of the 1990 Caol Ila reviewed above are nakedly exposed; then this Caol Ila is wearing a winter coat. The same flavor notes are there; but they’re less noticeable. Pleasingly salty; gently drying finish. 
",81,1
2031,An established regular member of Diageo’s annual set of Special Releases; this expression celebrates the lesser-known side of Islay’s largest distillery; its production of a non-smoked expression. It was this unpeated style that saved Caol Ila during the great decimation of distilleries in the early 1980s. This example is intense and needs LOTS of water for its fragrance of cut grass; sherbet; and coconut water to emerge. The palate shows boiled sweets and has a pleasingly clinging quality. £53 ,81,1
2032,Initially what we have are classic Caol Ila notes: cod liver oil; soft pear-like fruits; and a glimpse of lobster cooked in sea water. It’s not so much smoky as ozonic and; though it seems a little exposed with water; there’s a squeeze of lemon (for the lobster; maybe). On the tongue there’s a light ashy note before the mouth is slowly filled. Any smoke is in check and understated. This is about citric freshness and salt. £70,81,1
2026,Bowmore in unusually oily guise here; with linseed oil; hot seashells; background water mint; completely integrated smoke; and a cooling note that brings to mind a lido (without any chlorine; I hasten to add). The palate has a limey lift which flows into a quite thick; creamy/oaty mid-palate; with the smoke bedding itself on the tongue. Smoky and mineralic on the finish. Water makes it even more gentle. A light expression for the early morning. £98,81,1
2051,At first I wondered what was going on here. This Lagavulin has more of the austerity typical of Port Ellen. There’s a tense minerality on the nose giving the impression of salty rock-pools and samphire. Water makes it sweeter and oyster-like. There’s big delivery on the tongue; with masses of distillery character; but that tension remains to the saline finish. In a head-to-head with Caol Ila; the former wins hands down. £85	,81,1
2048,A soft; perfumed nose; with orchard fruits; vanilla; and a lightly spiced background. Voluptuous and initially very sweet on the palate; with malt and almonds; then ginger and chili kick in. Lively spices and fruit-and-nut chocolate continue through the lengthy and ultimately dry finish. £55,81,1
2053,"Grape candy; raisin; blueberries; vanilla malt; and lavender; with hints of lemon and spearmint. More aggressive campfire embers and damp earth burn underneath; along with some salt. A whisky that grows on you; and not bad for 7 years old.
",81,1
2052,rather soft whisky; with gently sweet notes of vanilla; marshmallow; and macaroon; with underlying tropical fruit; cut grass; and subtle spearmint. A feminine whisky to have with dessert -- or as dessert.,81,1
2084,Did you hear that this distillery produced its 2.5 billionth liter of alcohol in 2015? This example from a refill hoggie has a floral bouquet; with a nose of snapped fingers of vanilla shortbread; butter frosting; and Angel Delight. An oily texture with flavors reminiscent of popcorn; turns to caramel; vanilla; parkin; and gingersnaps. There are some growling base notes of peppercorn; but it ends on a singed popcorn note. Sticky nougat and toasted corn chips on the finish. (294 bottles) £76,81,1
2083,Formerly marketed as Glen Deveron and now rechristened the Deveron as part of owner John Dewar & Sons’ Last Great Malts initiative; this 18 year old is the oldest of three releases on offer.  Oily on the nose; with apricots; sultanas; and toffee. Dark spices merge with sweet apples; walnuts; and a hint of chewing tobacco on the palate. Ginger and pepper in the lengthy finish.,81,1
2082,The recent official release of Aultmore means that malt lovers are finally aware of the distillery’s intense grassy/perfumed character; and it is these characters which are prominent here; alongside a very light sherried note in the background. There appears to be real complexity on the nose for such a young example; but water shows this to be the influence of the octave cask; which unravels slightly when water is added. Have it neat; and enjoy it a lot. £54,81,1
2081,Cometh the night. Shadows veil a whisky hewn from the cold lands in the north. A whisky of black cherry; crème de prune; rancio; balsamic; and salt; for it has known a mythical chimera cask; half Pedro Ximénez; half oloroso wood. The magical; syrupy texture foretells of passion fruit; fig; cherry; and raisins; but prophesizes that cask char will dominate the swallow. Dark forces swamp the quest for grain; though there is taste; hope; and nourishment for the journey ahead. £77,81,1
2079,Not often seen as a single bottling; here we have Speyside’s modernist distillery in typically delicate guise; with plenty of subtle florals (think hyacinth and daffodils); something which is amplified with water. Imagine a cool day in early spring and you are pretty much there. The mouth is clean and fresh; with a little acidity. Water doesn’t damage the palate delivery; but neither does it particularly enhance things. A sorbet rather than a meal. £65,81,1
2078,Very fresh and quite light in color; suggestive of only light cask conversation. BenRiach’s fruits are there with hints of apricot; even some gooseberry. Very light malty background; and then a whiff of witch hazel. In time; it sweetens into banana and pineapple. The palate is clean; though pretty hot; with that mature BenRiach fizzy spiciness on the back palate. Can’t help but feel that this would have been a great 30 year old. £95,81,1
2077,Nosing this whisky; you'd never guess just how fruity it is; with barnyard hay; dry malt; honey; and light smoke. On the palate; however; the fruit is unmistakable with giant mango and apple. The mid-palate takes a sharp left turn into smoke and salt; but the mango just won't let go. A very dry; smoky finish is too dry; making the case against release at this ABV. An oddball whisky that will probably only appeal to a very narrow audience. (U.S. only),81,1
2076,Douglas Laing follows up its award winning; Islay-soaked Big Peat with this; a sherried Speyside whisky. Just as Big Peat looks like Captain Haddock from Tintin; Scallywag on the label is a dead ringer for Snowy; though the official story is different. Anyway; this whisky isn't a patch on the Islay monster. Rootsy green salad malt is only partially rescued by the trademark Christmas cake and stewed fruits. Likeable; but not a classic. £45,81,1
2075,Pale straw. An upfront and quite aromatic nose with hints of a florist’s shop—stems and blooms—with an underpinning of malt. A little gawky perhaps; which water accentuates. The palate; when neat; is clean and mixes those flowers and some stewed apple. There’s a little green chili heat (even when diluted). A punchy little number. £36,81,1
2074,Aromas of liquid honey; light toffee; dried apple; and satsuma peel. There is an initial citric attack; but when the flare dies down; a residual bitterness cuts through the underlying creaminess and caramel. Sure; its component whiskies lack substance and grip; but there is some flavor progression through to an enjoyable piquancy around the gums. The finish is a nippy buzz of peel and heather honey. Simple; uncomplicated; but for the price there’s plenty to like here.,81,1
2073,"From the perfumed nose to the sweet and short finish; this blend doesn’t really put a foot wrong; but it’s shy and unadventurous.
Clearly well made; well balanced; and quite acceptable; it has a perfumed black currant sherbet nose; some slight but enjoyable blueberry; grape; and prune notes and a soft sweet conclusion. On its own; all fine: but it gets lost when in company.",81,1
2072,William Grant & Sons Rare Cask Reserves are micro-blends created jointly by Brian Kinsman and various liquor store proprietors; drawing on a choice of over 40 different single malts (importantly; not Glenfiddich or Balvenie). Quite herbal; with tarragon; cilantro; boiled candies; and unripe plums. A slow starter; vegetal notes yield to fudge; milk chocolate; orange; and maltiness; with pepper; oak; and spices in the latter phases. Stocked in only five U.S. retailers.,81,1
2071,Scooped-out spaghetti squash; whole red bird’s eye chilies; celery tops; and country ham. It is redolent of sugary-sweet candies like Spangles (from the 1970s). Light and delicate initially; moving into phases of vanilla sponge; dried raspberry; and peppery spices; then the vegetal notes grow larger in the later phases. An enjoyable effort from refill cask #10439; but it fizzles out; leaving a finish of light pepperiness; heat; and sodden newspapers. £88,81,1
2070,A pleasant nose of light caramel; dried orange rind; butterscotch; sweet grain; and a lick of bonfire smoke; yet it’s like the volume has been dialed down to three. Delicate; to the point of shyness. Sweet barley; concentrated orange; a low rumble of spice; and the grain sings through. Accessible; well structured; and light-textured; leading to a finish of brown sugar around the gums; although it has a stronger grain character than many in its price range.,81,1
2080,At 8 years old; there are stiff caramels; malt; oatcakes; Genoise sponge; and zested clementines on the nose. It doesn’t stint on flavor when it comes to the taste; bringing dried fig rolls; chewy toffee; Aunt Sally pralines; walnuts; and chocolate ganache to the party. It’s driven by dry fruit rather than sweetness; and there is a bitter edge to the swallow that persists into the finish. £35,81,1
2068,The first spirit distilled at Abhainn Dearg is now 3 years old and legally Scotch single malt whisky. The distillery has celebrated with a single cask; non-colored; non-chill filtered release of 2;011 500 ml bottles. Apricots; crystallized ginger; candied peel; and papier-mâché on the nose. The palate features fresh fruit; spicy oak; honeycomb; and finally; toffee. Quite short in the finish; with more toffee; and a nutty note. £150,81,1
2054,"Succulent; sappy; with plenty of oak. This whisky is quite fruity; with tangerine; lemon; and strawberries. It is balanced by fat barley; almonds and damp oak. It is not as polished and rounded as the Gordon & Macphail Longmorn reviewed above. Indeed; the fruity; damp oak notes can be quite dominant in this whisky. However; the whisky evolves constantly on the palate and there are some minty; spicy underlying notes which add intrigue. Definitely save this one for after dinner. 
",81,1
2069,A light; oily nose; a little nutty; baked apple; cinnamon; nutmeg; and malt biscuits. There are seductive dark spices and cooked fruit; almost savory; like lifting the lid on a tagine. A thinner mouthfeel showing some lime zest before a warm; enveloping glow of malt sweetness; gentle spice; toffee; raisin; and char emerges. Savory; peppery finish. Like nightfall; it gets darker the longer you contemplate it. With water; sweeter with more candied citrus as honeys materialize.,81,1
2055,"Appetizingly briny and spicy; as would be expected from a Pulteney-especially on the nose. The spice notes (cinnamon; licorice root; vanilla) are balanced with light caramel and toffee. Quite dry; polished leather finish with suggestions of bourbon. While still enjoyable; I feel this would have been a better whisky if it were bottled 5-10 years ago. 
",81,1
2056,"Strathisla whisky produced from peaty water; to create a different variant of Strathisla. The two dominant characteristics here are ripe fruit (berries; raisin; pineapple; citrus) and wood spices (cinnamon; clove; mint). The sherry cask and 33 years on oak have left their impact. The fruit and honeyed/toffee almond sweetness is to the fore with the dry spices kicking in later. They balance themselves out; but I wonder what this whisky tasted like fifteen years ago before the sherry and oak took the upper hand? 
",81,1
2058,A trio of new expressions of what has become an established Islay brand. This one has a vibrant; edgy opening; almost like a burning lawnmower box; mixed with needed oiliness (gun oil); white tea; and; in time; the rather pleasant note of a cold fish supper. The palate is broad; and though light; the oils allow it to cling to the tongue as the salt; lime; and smoke all begin to build. A little hard; but pleasantly bracing.£44 ,81,1
2059,It often takes time for a new distillery to find its feet; but Kilchoman’s spirit was top quality from the first day. Its limited-edition releases act as markers on a work in progress; but are precociously advanced for their tender years. This; the first 5 year old; leads with a note like wet rushes/wet dog (that’s good!) alongside lightly turfy smoke. The palate is sweet; smoked; and thick with allspice on the finish. A star is born.,81,1
2060,Diageo’s smallest distillery and another that has worm tubs. The character here is grassy: think hay and straw rather than lawn clippings. There’s just a hint of cereal behind; and a fresh; roasted spiciness. The palate has good central sweetness where you just get a hint of fruit. Light and fresh; and a good afternoon dram. £33,81,1
2057,Aultmore is part of the Dewar’s stable and another of Speyside’s forgotten light brigade. Here is a noseful of esters: bubblegum; pineapple; pink grapefruit; strawberries; and icing sugar. Visions of “Legally Blonde” flash through the mind. The palate is equally energetic; though with little cask influence it’s a bit gawky and slightly green; especially with water; suggesting that another year wouldn’t have done it any harm. Still; all very lovely.  £100,81,1
2062,Thanks to the suicidal pricing policy of its previous owner; Glen Moray has been considered nothing more than a bargain basement malt; but at its best it is a very sweet; lightly malty dram. This is as soft as a lemon cream bun in a sunlit baker’s shop. Water brings out banana chews while the tongue brings to mind a picnic with baked scones and apricot jam. The only negative is slightly needling alcohol; so dilute and drink quickly. £72,81,1
2063,While its regular stablemate Fior contains a proportion of peated malt; Fasque is unpeated; and the best comparison is with the now-discontinued 12 year old ‘1824’ house bottling. The nose is fragrant; with sherry; cherries; and vanilla. Relatively full-bodied; with a rich; spicy palate; focusing on Jaffa oranges and dark chocolate. It dries quite quickly to black coffee and spicy licorice; which linger in the mouth; along with a note of toffee. £35,81,1
2067,Glendullan has an unfortunate moniker. Any whisky with ‘dull’ in the middle of its name will always struggle in English-speaking markets. It’s a shame; because it’s always delivered a gentle; sweet; lightly fruity/estery style; making it an ideal lunchtime dram. This ticks all those boxes. Green apples are there; as is cinnamon; alongside a racy acidity before water brings out more scented aromas. The finish is short; but it does its job as an easy-drinking; everyday malt. (Travel Retail exclusive),81,1
2064,"Full-bodied and sweet on the nose; mixing burlap; bran; fruit cake; hazelnut purée; malt
extract; with water it becomes fresher and almond-like with a touch of
greengage plum. The palate has a soft feel; with the thickness displayed in the
nose alongside plums and crystallized ginger. It’s just a little flabby. I’d
like a bit more freshness or grip. The finish is nutty and rich. (Travel Retail exclusive) £51/1 liter ",81,1
2065,Released in Taiwan in 2010; 15 year old Singleton of Glen Ord offers deep; smooth sherry and ginger notes on the nose. There’s vanilla; cocktail cherries; orange; malt; and dark chocolate on the palate. Long in the fruity then drying finish; cocoa powder; and finally; rather bitter oak. RM329,81,1
2061,A malt that was overlooked by one owner (Glenmorangie) and is now; under the auspices of a new one (La Martiniquaise); beginning to ease itself back into the single malt world. Its problem has been the price: too low (see Speyburn). The standard 12 year old bottling gives a perfect idea of its potential. This is as soft and sweet a malt as you could ask for: peaches; toffee; and baked apple; with a tobacco/cedar/pine note from the oak. ,81,1
2066,Launched in southeast Asia in 2006; 12 year old Glen Ord boasts a nose that is sweet and gingery; with toffee; a hint of tangerine; along with vanilla; sherry; and oriental spices. The palate mirrors the nose with more spice; then chocolate; and milky coffee. Finally; quite drying. RM247,81,1
1955,This new NAS might surprise those who recall the Chivas Bros. “Age Matters” campaign; but that’s whisky for you. The initial impression is of a fresh maltiness; sweet hay; and fresh porridge oats; then comes sawn oak; but it opens into pineapple; becoming more obviously Glenlivet. The palate is pretty and light; but seems a bit hollow in the middle; making the whole package slightly insubstantial. Water enhances and sweetens the nose; but deepens that mid-palate hole. £30,82,1
1954,I’m a fan of the original Nadurra’s freshness; which maximizes Glenlivet’s apple blossom and pineapple perfume. This pleasantly funky new brother has been matured wholly in oloroso; which adds (very) sweet sherry; nougat; blackcurrant; grilled pear; and malt. While the palate starts well; with mixed red and black fruits (and a little grapefruit); the sherry adds thickness from back palate on and the distillery slides away. Pleasant; but a tale of two halves. (Travel Retail exclusive) £50 ,82,1
1953,A relatively heavily-peated variant of Glenglassaugh matured in 50-liter octave casks; giving significant cask influence due to the high surface-to-volume ratio. This expression is non-chill filtered. Carbolic soap and a mineral note on the softly smoky nose; followed by apple pie and cream notes. The palate is medium-sweet and quite spicy; with black pepper. Now clear; dry peat notes present themselves with a touch of chili. Ashy peat and cinnamon in the medium-length finish. £55,82,1
